country_region,sub_region_1,date,type,values
Argentina,CABA,2020-03-26,grocery_and_pharmacy,-47
Argentina,CABA,2020-03-26,parks,-85
Argentina,CABA,2020-03-26,transit_stations,-83
Argentina,CABA,2020-03-26,workplaces,-81
Argentina,CABA,2020-03-26,residential,38
Argentina,CABA,2020-03-27,retail_and_recreation,-89
Argentina,CABA,2020-03-27,grocery_and_pharmacy,-44
Argentina,CABA,2020-03-27,parks,-85
Argentina,CABA,2020-03-27,transit_stations,-82
Argentina,CABA,2020-03-27,workplaces,-80
Argentina,CABA,2020-03-27,residential,41
Argentina,CABA,2020-03-28,retail_and_recreation,-89
Argentina,CABA,2020-03-28,grocery_and_pharmacy,-41
Argentina,CABA,2020-03-28,parks,-88
Argentina,CABA,2020-03-28,transit_stations,-80
Argentina,CABA,2020-03-28,workplaces,-71
Argentina,CABA,2020-03-28,residential,33
Argentina,CABA,2020-03-29,retail_and_recreation,-90
Argentina,CABA,2020-03-29,grocery_and_pharmacy,-48
Argentina,CABA,2020-03-29,parks,-91
Argentina,CABA,2020-03-29,transit_stations,-82
Argentina,CABA,2020-03-29,workplaces,-69
Argentina,CABA,2020-03-29,residential,31
Argentina,CABA,2020-03-30,retail_and_recreation,-89
Argentina,CABA,2020-03-30,grocery_and_pharmacy,-46
Argentina,CABA,2020-03-30,parks,-87
Argentina,CABA,2020-03-30,transit_stations,-84
Argentina,CABA,2020-03-30,workplaces,-82
Argentina,CABA,2020-03-30,residential,37
Argentina,CABA,2020-03-31,retail_and_recreation,-92
Argentina,CABA,2020-03-31,grocery_and_pharmacy,-54
Argentina,CABA,2020-03-31,parks,-90
Argentina,CABA,2020-03-31,transit_stations,-88
Argentina,CABA,2020-03-31,workplaces,-89
Argentina,CABA,2020-03-31,residential,38
Argentina,CABA,2020-04-01,retail_and_recreation,-88
Argentina,CABA,2020-04-01,grocery_and_pharmacy,-43
Argentina,CABA,2020-04-01,parks,-83
Argentina,CABA,2020-04-01,transit_stations,-81
Argentina,CABA,2020-04-01,workplaces,-79
Argentina,CABA,2020-04-01,residential,35
Argentina,CABA,2020-04-02,retail_and_recreation,-87
Argentina,CABA,2020-04-02,grocery_and_pharmacy,-42
Argentina,CABA,2020-04-02,parks,-85
Argentina,CABA,2020-04-02,transit_stations,-81
Argentina,CABA,2020-04-02,workplaces,-80
Argentina,CABA,2020-04-02,residential,37
Argentina,CABA,2020-04-03,retail_and_recreation,-87
Argentina,CABA,2020-04-03,grocery_and_pharmacy,-39
Argentina,CABA,2020-04-03,parks,-83
Argentina,CABA,2020-04-03,transit_stations,-79
Argentina,CABA,2020-04-03,workplaces,-78
Argentina,CABA,2020-04-03,residential,40
Argentina,CABA,2020-04-04,retail_and_recreation,-87
Argentina,CABA,2020-04-04,grocery_and_pharmacy,-35
Argentina,CABA,2020-04-04,parks,-86
Argentina,CABA,2020-04-04,transit_stations,-77
Argentina,CABA,2020-04-04,workplaces,-68
Argentina,CABA,2020-04-04,residential,32
Argentina,CABA,2020-04-05,retail_and_recreation,-88
Argentina,CABA,2020-04-05,grocery_and_pharmacy,-44
Argentina,CABA,2020-04-05,parks,-89
Argentina,CABA,2020-04-05,transit_stations,-80
Argentina,CABA,2020-04-05,workplaces,-66
Argentina,CABA,2020-04-05,residential,30
Argentina,CABA,2020-04-06,retail_and_recreation,-86
Argentina,CABA,2020-04-06,grocery_and_pharmacy,-39
Argentina,CABA,2020-04-06,parks,-82
Argentina,CABA,2020-04-06,transit_stations,-79
Argentina,CABA,2020-04-06,workplaces,-77
Argentina,CABA,2020-04-06,residential,35
Argentina,CABA,2020-04-07,retail_and_recreation,-89
Argentina,CABA,2020-04-07,grocery_and_pharmacy,-30
Argentina,CABA,2020-04-07,parks,-80
Argentina,CABA,2020-04-07,transit_stations,-77
Argentina,CABA,2020-04-07,workplaces,-77
Argentina,CABA,2020-04-07,residential,35
Argentina,CABA,2020-04-08,retail_and_recreation,-88
Argentina,CABA,2020-04-08,grocery_and_pharmacy,-26
Argentina,CABA,2020-04-08,parks,-78
Argentina,CABA,2020-04-08,transit_stations,-76
Argentina,CABA,2020-04-08,workplaces,-77
Argentina,CABA,2020-04-08,residential,34
Argentina,CABA,2020-04-09,retail_and_recreation,-89
Argentina,CABA,2020-04-09,grocery_and_pharmacy,-28
Argentina,CABA,2020-04-09,parks,-83
Argentina,CABA,2020-04-09,transit_stations,-79
Argentina,CABA,2020-04-09,workplaces,-81
Argentina,CABA,2020-04-09,residential,37
Argentina,CABA,2020-04-10,retail_and_recreation,-93
Argentina,CABA,2020-04-10,grocery_and_pharmacy,-48
Argentina,CABA,2020-04-10,parks,-88
Argentina,CABA,2020-04-10,transit_stations,-86
Argentina,CABA,2020-04-10,workplaces,-88
Argentina,CABA,2020-04-10,residential,43
Argentina,CABA,2020-04-11,retail_and_recreation,-89
Argentina,CABA,2020-04-11,grocery_and_pharmacy,-28
Argentina,CABA,2020-04-11,parks,-84
Argentina,CABA,2020-04-11,transit_stations,-74
Argentina,CABA,2020-04-11,workplaces,-67
Argentina,CABA,2020-04-11,residential,32
Argentina,CABA,2020-04-12,retail_and_recreation,-89
Argentina,CABA,2020-04-12,grocery_and_pharmacy,-39
Argentina,CABA,2020-04-12,parks,-88
Argentina,CABA,2020-04-12,transit_stations,-77
Argentina,CABA,2020-04-12,workplaces,-65
Argentina,CABA,2020-04-12,residential,30
Argentina,CABA,2020-04-13,retail_and_recreation,-88
Argentina,CABA,2020-04-13,grocery_and_pharmacy,-39
Argentina,CABA,2020-04-13,parks,-81
Argentina,CABA,2020-04-13,transit_stations,-77
Argentina,CABA,2020-04-13,workplaces,-74
Argentina,CABA,2020-04-13,residential,34
Argentina,CABA,2020-04-14,retail_and_recreation,-86
Argentina,CABA,2020-04-14,grocery_and_pharmacy,-25
Argentina,CABA,2020-04-14,parks,-76
Argentina,CABA,2020-04-14,transit_stations,-74
Argentina,CABA,2020-04-14,workplaces,-73
Argentina,CABA,2020-04-14,residential,33
Argentina,CABA,2020-04-15,retail_and_recreation,-86
Argentina,CABA,2020-04-15,grocery_and_pharmacy,-27
Argentina,CABA,2020-04-15,parks,-77
Argentina,CABA,2020-04-15,transit_stations,-74
Argentina,CABA,2020-04-15,workplaces,-72
Argentina,CABA,2020-04-15,residential,33
Argentina,CABA,2020-04-16,retail_and_recreation,-88
Argentina,CABA,2020-04-16,grocery_and_pharmacy,-27
Argentina,CABA,2020-04-16,parks,-93
Argentina,CABA,2020-04-16,transit_stations,-72
Argentina,CABA,2020-04-16,workplaces,-73
Argentina,CABA,2020-04-16,residential,34
Argentina,CABA,2020-04-17,retail_and_recreation,-87
Argentina,CABA,2020-04-17,grocery_and_pharmacy,-24
Argentina,CABA,2020-04-17,parks,-93
Argentina,CABA,2020-04-17,transit_stations,-71
Argentina,CABA,2020-04-17,workplaces,-71
Argentina,CABA,2020-04-17,residential,38
Argentina,CABA,2020-04-18,retail_and_recreation,-89
Argentina,CABA,2020-04-18,grocery_and_pharmacy,-28
Argentina,CABA,2020-04-18,parks,-96
Argentina,CABA,2020-04-18,transit_stations,-71
Argentina,CABA,2020-04-18,workplaces,-62
Argentina,CABA,2020-04-18,residential,31
Argentina,CABA,2020-04-19,retail_and_recreation,-90
Argentina,CABA,2020-04-19,grocery_and_pharmacy,-40
Argentina,CABA,2020-04-19,parks,-97
Argentina,CABA,2020-04-19,transit_stations,-75
Argentina,CABA,2020-04-19,workplaces,-63
Argentina,CABA,2020-04-19,residential,29
Argentina,CABA,2020-04-20,retail_and_recreation,-87
Argentina,CABA,2020-04-20,grocery_and_pharmacy,-31
Argentina,CABA,2020-04-20,parks,-92
Argentina,CABA,2020-04-20,transit_stations,-72
Argentina,CABA,2020-04-20,workplaces,-70
Argentina,CABA,2020-04-20,residential,32
Argentina,CABA,2020-04-21,retail_and_recreation,-87
Argentina,CABA,2020-04-21,grocery_and_pharmacy,-30
Argentina,CABA,2020-04-21,parks,-93
Argentina,CABA,2020-04-21,transit_stations,-72
